,id,date,user,text,retweet,retweet_count,location,source,followers_count,friends_count,favourite_count,post_by
1431,1.42396594397416E+018,Sat Aug 07 11:15:11 +0000 2021,TamBramMadras1,"RT @ntknikaran: Trending 😌❤️
#மங்களஇசை_கேட்டநாள் https://t.co/ktVhneWRCM",True,183,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,ntknikaran
1432,1.4239659134564E+018,Sat Aug 07 11:15:04 +0000 2021,TamBramMadras1,"RT @itzz_iniyaa: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨

 https://t.co/xhjOVlEdwq",True,205,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,itzz_iniyaa
1433,1.42396588736784E+018,Sat Aug 07 11:14:58 +0000 2021,AntonyPaulraj6,"RT @vivekbabu21: Tamils today
#மங்களஇசை_கேட்டநாள் https://t.co/B9bCRmMT0W",True,369,"Kozhippara,Palakkad ",Android,114,250,2031,vivekbabu21
1434,1.42396586261725E+018,Sat Aug 07 11:14:52 +0000 2021,TamBramMadras1,"RT @MrYashwanth8: Well said
#மங்களஇசை_கேட்டநாள் https://t.co/i8r0VGv6Vl",True,137,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,MrYashwanth8
1435,1.42396584135211E+018,Sat Aug 07 11:14:47 +0000 2021,RAMESHM52632486,"RT @MrYashwanth8: Well said
#மங்களஇசை_கேட்டநாள் https://t.co/i8r0VGv6Vl",True,137,,Android,12,29,1192,MrYashwanth8
1436,1.42396580230313E+018,Sat Aug 07 11:14:37 +0000 2021,TamBramMadras1,"RT @PratheeshKongu: #மங்களஇசை_கேட்டநாள்
After seeing this trend👆🏻 https://t.co/13qtgenJzx",True,81,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,PratheeshKongu
1437,1.4239657818643E+018,Sat Aug 07 11:14:33 +0000 2021,TamBramMadras1,RT @YnavSukirthan: 5000 Tweets  💥#மங்களஇசை_கேட்டநாள் https://t.co/WQ9KtEOnUA,True,130,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,YnavSukirthan
1438,1.4239657676414E+018,Sat Aug 07 11:14:29 +0000 2021,TamBramMadras1,"RT @Tamil_AIADMK_45: Ready to tweets.... 🔥

#மங்களஇசை_கேட்டநாள் https://t.co/sScIVLqRSd",True,178,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,Tamil_AIADMK_45
1439,1.42396573668328E+018,Sat Aug 07 11:14:22 +0000 2021,TamBramMadras1,"RT @saathiveriyan: #மங்களஇசை_கேட்டநாள்
🔥Trending... https://t.co/OseKSSK4GN",True,113,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,saathiveriyan
1440,1.42396570678201E+018,Sat Aug 07 11:14:15 +0000 2021,suganthsaran,"RT @ABIRAMI29802637: Let's celebrate
#மங்களஇசை_கேட்டநாள் https://t.co/LvScLjvXV2",True,199,Aruppukottai,Android,2373,3285,53066,ABIRAMI29802637
1441,1.42396544181532E+018,Sat Aug 07 11:13:11 +0000 2021,i_luv_ltte,"RT @jackie0o: 10 k Trending India level 🔥🔥
Target 500k 😁😁
#மங்களஇசை_கேட்டநாள்
#மங்களஇசை_கேட்டநாள்
#மங்களஇசை_கேட்டநாள்
#மங்களஇசை_கேட்டநாள்
#…",True,27,,Android,101,393,4,jackie0o
1442,1.42396538436179E+018,Sat Aug 07 11:12:58 +0000 2021,nallanva1,"RT @Narmadh89404961: The day 😁😁

#மங்களஇசை_கேட்டநாள் https://t.co/ow8cfWToHC",True,57,,Android,207,292,55807,Narmadh89404961
1443,1.42396534033825E+018,Sat Aug 07 11:12:47 +0000 2021,sahay_victory,"RT @THENSMATHI: #மங்களஇசை_கேட்டநாள்
#மங்களஇசை_கேட்டநாள்
After seeing this trend👆🏻 https://t.co/UjsiKBmVM1",True,19,தமிழர் நாடு,Android,1057,4961,72875,THENSMATHI
1444,1.42396522083421E+018,Sat Aug 07 11:12:19 +0000 2021,sahay_victory,"RT @venkateshaprabu: Thought of somebody posting this pic.. but didn't..

#மங்களஇசை_கேட்டநாள் https://t.co/VIxTHkWd6c",True,41,தமிழர் நாடு,Android,1057,4961,72875,venkateshaprabu
